Date,Price,Price_diff
2022-03-25,3707.45,-42.40000000000009
2022-03-29,3705.35,-2.349999999999909
2022-03-30,3731.55,26.200000000000273
2022-03-31,3739.95,8.399999999999636
2022-04-01,3758.75,18.800000000000182
2022-04-05,3814.8,44.45000000000027
2022-04-06,3755.35,-59.45000000000027
2022-04-07,3684.15,-71.19999999999982
2022-04-08,3685.65,1.5
2022-04-12,3691.1,-5.300000000000182
2022-04-13,3661.95,-29.15000000000009
2022-04-19,3471.9,-56.15000000000009
2022-04-20,3556.8,84.90000000000009
2022-04-21,3628.65,71.84999999999991
2022-04-22,3612.55,-16.09999999999991
2022-04-26,3546.3,-1.8999999999996362
2022-04-27,3561.2,14.899999999999636
2022-04-28,3584.3,23.100000000000364
2022-04-29,3546.7,-37.600000000000364
2022-05-05,3513.4,33.65000000000009
2022-05-06,3432.6,-80.80000000000018
2022-05-10,3438.75,-6.349999999999909
2022-05-11,3412.0,-26.75
2022-05-12,3408.65,-3.349999999999909
2022-05-13,3414.9,6.25
2022-05-17,3451.6,74.79999999999973
2022-05-18,3448.8,-2.799999999999727
2022-05-19,3261.95,-186.85000000000036
2022-05-20,3293.0,31.050000000000182
2022-05-24,3288.0,-33.75
2022-05-25,3167.65,-120.34999999999991
2022-05-26,3226.95,59.29999999999973
2022-05-27,3261.3,34.350000000000364
2022-05-31,3364.35,-10.900000000000091
2022-06-01,3355.2,-9.150000000000091
2022-06-02,3423.0,67.80000000000018
2022-06-03,3440.15,17.15000000000009
2022-06-07,3362.7,-68.25
2022-06-08,3404.15,41.45000000000027
2022-06-09,3427.1,22.949999999999818
2022-06-10,3359.9,-67.19999999999982
2022-06-14,3210.55,-9.049999999999727
2022-06-15,3206.3,-4.25
2022-06-16,3142.0,-64.30000000000018
2022-06-17,3088.9,-53.09999999999991
2022-06-21,3133.66,21.259999999999764
2022-06-22,3144.39,10.730000000000018
2022-06-23,3228.15,83.76000000000022
2022-06-24,3212.83,-15.320000000000164
2022-06-28,3237.27,3.3600000000001273
2022-06-29,3210.3,-26.9699999999998
2022-06-30,3187.47,-22.830000000000382
2022-07-01,3234.3,46.83000000000038
2022-07-05,3137.91,-18.289999999999964
2022-07-06,3181.27,43.36000000000013
2022-07-07,3207.71,26.440000000000055
2022-07-08,3185.86,-21.84999999999991
2022-07-12,3009.51,-28.389999999999873
2022-07-13,2964.68,-44.83000000000038
2022-07-14,2925.66,-39.01999999999998
2022-07-15,2921.61,-4.049999999999727
2022-07-19,2999.32,10.490000000000236
2022-07-20,3087.66,88.33999999999969
2022-07-21,3099.85,12.190000000000055
2022-07-22,3093.71,-6.139999999999873
2022-07-26,3039.95,-49.61000000000013
2022-07-27,3111.12,71.17000000000007
2022-07-28,3181.03,69.91000000000031
2022-07-29,3221.42,40.38999999999987
2022-08-02,3211.56,-6.829999999999927
2022-08-03,3258.1,46.539999999999964
2022-08-04,3273.18,15.079999999999927
2022-08-05,3283.03,9.850000000000364
2022-08-11,3339.08,66.59000000000015
2022-08-12,3318.64,-20.440000000000055
2022-08-17,3318.2,8.199999999999818
2022-08-18,3298.83,-19.36999999999989
2022-08-19,3303.22,4.389999999999873
2022-08-23,3204.54,-68.24000000000024
2022-08-24,3176.0,-28.539999999999964
2022-08-25,3139.76,-36.23999999999978
2022-08-26,3143.66,3.899999999999636
2022-08-30,3132.88,76.68000000000029
2022-09-02,3054.1,-1.2699999999999818
2022-09-06,3050.83,-6.190000000000055
2022-09-07,3072.83,22.0
2022-09-08,3092.39,19.559999999999945
2022-09-09,3139.22,46.82999999999993
2022-09-13,3150.64,-13.269999999999982
2022-09-14,3044.34,-106.29999999999973
2022-09-15,3028.68,-15.66000000000031
2022-09-16,2935.36,-93.31999999999971
2022-09-20,2966.19,11.210000000000036
2022-09-21,2928.05,-38.13999999999987
2022-09-22,2934.1,6.049999999999727
2022-09-23,2909.36,-24.73999999999978
2022-09-27,2943.9,22.490000000000236
2022-09-28,2961.66,17.759999999999764
2022-09-29,2924.24,-37.42000000000007
2022-09-30,2931.32,7.080000000000382
2022-10-04,3015.8,103.61000000000013
2022-10-07,2990.2,-36.14000000000033
2022-10-11,2994.73,-47.809999999999945
2022-10-12,3025.17,30.440000000000055
2022-10-13,3027.66,2.4899999999997817
2022-10-14,3023.61,-4.049999999999727
2022-10-18,3068.05,32.15000000000009
2022-10-19,3045.76,-22.289999999999964
2022-10-20,3080.34,34.57999999999993
2022-10-21,3060.93,-19.41000000000031
2022-10-25,3085.03,0.3900000000003274
2022-10-28,3086.15,5.710000000000036
2022-11-01,3180.25,64.92999999999984
2022-11-02,3162.69,-17.559999999999945
2022-11-03,3128.59,-34.09999999999991
2022-11-04,3138.98,10.389999999999873
2022-11-10,3127.51,-10.149999999999636
2022-11-11,3235.13,107.61999999999989
2022-11-15,3251.37,-2.8299999999999272
2022-11-16,3273.56,22.190000000000055
2022-11-17,3267.37,-6.190000000000055
2022-11-18,3261.96,-5.4099999999998545
2022-11-22,3234.15,30.68000000000029
2022-11-23,3227.66,-6.4900000000002365
2022-11-24,3297.76,70.10000000000036
2022-11-25,3307.03,9.269999999999982
2022-11-29,3314.54,2.050000000000182
2022-11-30,3308.15,-6.389999999999873
2022-12-01,3390.93,82.77999999999975
2022-12-02,3355.32,-35.60999999999967
2022-12-06,3302.83,-39.570000000000164
2022-12-07,3298.2,-4.630000000000109
2022-12-08,3268.88,-29.31999999999971
2022-12-09,3212.49,-56.39000000000033
2022-12-13,3250.88,44.539999999999964
2022-12-14,3283.32,32.440000000000055
2022-12-15,3224.54,-58.7800000000002
2022-12-16,3161.27,-63.26999999999998
2022-12-20,3164.88,40.88000000000011
2022-12-21,3188.88,24.0
2022-12-22,3180.25,-8.63000000000011
2022-12-23,3149.66,-30.590000000000146
2022-12-27,3180.05,6.440000000000055
2022-12-28,3177.71,-2.3400000000001455
2022-12-29,3189.08,11.36999999999989
2022-12-30,3177.32,-11.759999999999764
2023-01-03,3230.64,48.690000000000055
2023-01-04,3233.86,3.2200000000002547
2023-01-05,3230.39,-3.4700000000002547
2023-01-06,3133.27,-97.11999999999989
2023-01-10,3206.3,-32.73000000000002
2023-01-11,3247.56,41.25999999999976
2023-01-12,3253.08,5.519999999999982
2023-01-13,3292.3,39.220000000000255
2023-01-17,3362.82,44.15000000000009
2023-01-18,3374.36,11.539999999999964
2023-01-19,3357.54,-16.820000000000164
2023-01-20,3347.59,-9.949999999999818
2023-01-24,3420.45,21.299999999999727
2023-01-25,3413.93,-6.519999999999982
2023-01-31,3343.21,-74.59999999999991
2023-02-01,3392.63,49.42000000000007
2023-02-02,3444.44,51.809999999999945
2023-02-03,3466.24,21.799999999999727
2023-02-07,3456.53,12.540000000000418
2023-02-08,3503.86,47.32999999999993
2023-02-09,3524.52,20.659999999999854
2023-02-10,3521.24,-3.2800000000002
2023-02-14,3483.96,17.61999999999989
2023-02-15,3504.41,20.449999999999818
2023-02-16,3541.64,37.23000000000002
2023-02-17,3485.0,-56.63999999999987
2023-02-21,3435.08,-36.13999999999987
2023-02-22,3385.86,-49.2199999999998
2023-02-23,3398.06,12.199999999999818
2023-02-24,3384.77,-13.289999999999964
2023-02-28,3297.57,-18.909999999999854
2023-03-01,3370.08,72.50999999999976
2023-03-02,3306.13,-63.94999999999982
2023-03-03,3326.74,20.609999999999673
2023-03-09,3321.46,-53.30000000000018
2023-03-10,3315.64,-5.820000000000164
2023-03-14,3200.12,-66.69000000000005
2023-03-15,3184.15,-15.9699999999998
2023-03-16,3170.31,-13.840000000000146
2023-03-17,3164.64,-5.670000000000073
2023-03-21,3091.77,-37.0300000000002
2023-03-22,3116.36,24.590000000000146
2023-03-23,3110.24,-6.120000000000346
2023-03-24,3106.11,-4.129999999999654
2023-03-28,3101.53,-6.369999999999891
2023-03-29,3124.42,22.889999999999873
2023-04-06,3205.85,-19.01000000000022
2023-04-11,3198.98,-49.36999999999989
2023-04-12,3226.7,27.7199999999998
2023-04-13,3174.14,-52.559999999999945
2023-04-18,3116.31,-8.710000000000036
2023-04-19,3075.35,-40.960000000000036
2023-04-20,3090.48,15.13000000000011
2023-04-21,3146.27,55.789999999999964
2023-04-25,3161.35,1.1900000000000546
2023-04-26,3183.4,22.050000000000182
2023-04-27,3173.25,-10.150000000000091
2023-04-28,3204.4,31.15000000000009
2023-05-03,3165.23,-39.320000000000164
2023-05-04,3205.85,40.61999999999989
2023-05-05,3215.8,9.950000000000273
2023-05-09,3268.11,32.5
2023-05-10,3271.64,3.5299999999997453
2023-05-11,3267.01,-4.629999999999654
2023-05-12,3259.2,-7.8100000000004
2023-05-16,3243.12,3.0799999999999272
2023-05-17,3193.9,-49.2199999999998
2023-05-18,3185.09,-8.809999999999945
2023-05-19,3207.99,22.899999999999636
2023-05-23,3281.84,-1.6499999999996362
2023-05-24,3288.11,6.269999999999982
2023-05-25,3278.31,-9.800000000000182
2023-05-26,3313.55,35.24000000000024
2023-05-30,3300.91,-4.130000000000109
2023-05-31,3274.33,-26.579999999999927
2023-06-01,3308.67,34.340000000000146
2023-06-02,3290.35,-18.320000000000164
2023-06-06,3217.39,-56.340000000000146
2023-06-07,3259.8,42.41000000000031
2023-06-08,3221.52,-38.2800000000002
2023-06-09,3194.5,-27.019999999999982
2023-06-13,3228.74,-3.1900000000000546
2023-06-14,3236.06,7.320000000000164
2023-06-15,3201.47,-34.590000000000146
2023-06-16,3160.26,-41.20999999999958
2023-06-20,3212.81,17.2199999999998
2023-06-21,3243.17,30.360000000000127
2023-06-22,3223.56,-19.610000000000127
2023-06-23,3201.52,-22.039999999999964
2023-06-27,3182.6,7.6599999999998545
2023-06-28,3200.62,18.019999999999982
2023-07-04,3293.59,36.38000000000011
2023-07-05,3304.64,11.049999999999727
2023-07-06,3307.57,2.930000000000291
2023-07-07,3313.9,6.329999999999927
2023-07-11,3257.31,0.4499999999998181
2023-07-12,3244.86,-12.449999999999818
2023-07-13,3325.14,80.27999999999975
2023-07-14,3498.44,173.30000000000018
2023-07-18,3480.72,5.119999999999891
2023-07-19,3454.05,-26.669999999999618
2023-07-20,3447.33,-6.720000000000255
2023-07-21,3352.76,-94.56999999999971
2023-07-25,3383.47,4.379999999999654
2023-07-26,3372.67,-10.799999999999727
2023-07-27,3381.23,8.559999999999945
2023-07-28,3339.93,-41.30000000000018
2023-08-01,3436.13,30.460000000000036
2023-08-02,3424.78,-11.349999999999909
2023-08-03,3384.27,-40.51000000000022
2023-08-04,3427.67,43.40000000000009
2023-08-08,3454.59,-13.389999999999873
2023-08-09,3446.53,-8.059999999999945
2023-08-10,3426.23,-20.300000000000182
2023-08-11,3432.89,6.6599999999998545
2023-08-17,3419.9,-22.549999999999727
2023-08-18,3351.57,-68.32999999999993
2023-08-22,3366.55,-19.409999999999854
2023-08-23,3382.58,16.029999999999745
2023-08-24,3372.13,-10.449999999999818
2023-08-25,3365.71,-6.420000000000073
2023-08-29,3360.58,0.599999999999909
2023-08-30,3375.31,14.730000000000018
2023-08-31,3341.32,-33.98999999999978
2023-09-01,3363.61,22.289999999999964
2023-09-05,3413.53,10.800000000000182
2023-09-06,3414.08,0.5499999999997272
2023-09-07,3439.31,25.230000000000018
2023-09-08,3426.03,-13.279999999999745
2023-09-12,3564.28,99.68000000000029
2023-09-13,3551.4,-12.88000000000011
2023-09-14,3543.63,-7.769999999999982
2023-09-15,3581.71,38.07999999999993
2023-09-21,3568.76,-20.659999999999854
2023-09-22,3587.03,18.269999999999982
2023-09-26,3569.16,8.509999999999764
2023-09-27,3572.75,3.5900000000001455
2023-09-28,3520.44,-52.309999999999945
2023-09-29,3512.33,-8.110000000000127
2023-10-04,3521.43,23.789999999999964
2023-10-05,3572.8,51.370000000000346
2023-10-06,3604.7,31.899999999999636
2023-10-10,3612.16,-9.41000000000031
2023-10-11,3593.25,-18.909999999999854
2023-10-12,3526.21,-67.03999999999996
2023-10-13,3554.38,28.170000000000073
2023-10-17,3490.88,-16.920000000000073
2023-10-18,3471.17,-19.710000000000036
2023-10-19,3439.71,-31.460000000000036
2023-10-20,3478.43,38.7199999999998
2023-10-26,3321.36,-53.10999999999967
2023-10-27,3335.5,14.139999999999873
2023-10-31,3353.21,-9.759999999999764
2023-11-01,3315.29,-37.92000000000007
2023-11-02,3344.6,29.309999999999945
2023-11-03,3335.45,-9.150000000000091
2023-11-07,3354.91,-9.75
2023-11-08,3365.95,11.039999999999964
2023-11-09,3332.01,-33.9399999999996
2023-11-10,3318.08,-13.930000000000291
2023-11-13,3316.19,-42.710000000000036
2023-11-16,3481.72,93.11999999999989
2023-11-17,3486.3,4.580000000000382
2023-11-21,3494.01,-9.359999999999673
2023-11-22,3513.87,19.859999999999673
2023-11-23,3492.07,-21.799999999999727
2023-11-24,3441.16,-50.91000000000031
2023-11-29,3497.54,43.38999999999987
2023-11-30,3471.51,-26.029999999999745
2023-12-01,3495.45,23.9399999999996
2023-12-05,3515.31,19.059999999999945
2023-12-06,3587.48,72.17000000000007
2023-12-07,3598.23,10.75
2023-12-08,3609.97,11.739999999999782
2023-12-12,3655.16,29.059999999999945
2023-12-13,3576.98,-78.17999999999984
2023-12-14,3650.34,73.36000000000013
2023-12-15,3843.19,192.8499999999999
2023-12-19,3798.6,-42.80000000000018
2023-12-20,3762.62,-35.98000000000002
2023-12-21,3770.03,7.410000000000309
2023-12-22,3806.36,36.32999999999993
2023-12-27,3793.62,15.579999999999927
2023-12-28,3782.38,-11.239999999999782
2023-12-29,3775.91,-6.470000000000255
2024-01-02,3765.75,-27.769999999999982
2024-01-03,3674.72,-91.0300000000002
2024-01-04,3649.89,-24.829999999999927
2024-01-05,3720.66,70.76999999999998
2024-01-09,3672.88,11.539999999999964
2024-01-10,3695.93,23.049999999999727
2024-01-11,3718.32,22.390000000000327
2024-01-12,3864.89,146.5699999999997
2024-01-16,3843.49,-42.3100000000004
2024-01-17,3866.68,23.190000000000055
2024-01-18,3884.6,17.920000000000073
2024-01-19,3943.05,58.45000000000027
2024-01-20,3860.65,-82.40000000000009
2024-01-24,3841.8,-16.449999999999818
2024-01-25,3810.3,-31.5
2024-01-30,3800.55,-0.4499999999998181
2024-01-31,3815.95,15.399999999999636
2024-02-01,3854.15,38.20000000000027
2024-02-02,3966.3,112.15000000000009
2024-02-06,4136.0,162.69999999999982
2024-02-07,4083.4,-52.59999999999991
2024-02-08,4134.1,50.70000000000027
2024-02-09,4133.7,-0.4000000000005457
2024-02-13,4149.5,28.800000000000182
2024-02-14,4100.1,-49.399999999999636
2024-02-15,4103.2,3.0999999999994543
2024-02-16,4128.3,25.100000000000364
2024-02-20,4030.65,-73.15000000000009
2024-02-21,3991.5,-39.15000000000009
2024-02-22,4087.1,95.59999999999991
2024-02-23,4052.1,-35.0
2024-02-27,4104.4,103.34999999999945
2024-02-28,4118.95,14.550000000000182
2024-02-29,4095.1,-23.84999999999991
2024-03-01,4094.35,-0.75
